% mqtt logfile, enabled=true
% broker=tcp://localhost:1883
% context=drive
% client id=tif_cmd
% system=robobot/ (top level ID)
% function=cmd/ (next level name)
% 1 	Time (sec)
% 2 	Quality of service 0=max once, 1=at least once, 2=once, S=subscribe
% 3 	'Topic'
% 4 	Message / payload
1772540125.5846 0 drive robobot/cmd/ti log 1
1772540244.5888 0 'robobot/teensy_interface/alive' 1772540244.5887 2026-03-03 13:17:24.588
1772540246.5967 0 'robobot/teensy_interface/alive' 1772540246.5966 2026-03-03 13:17:26.596
1772540248.6047 0 'robobot/teensy_interface/alive' 1772540248.6046 2026-03-03 13:17:28.604
1772540250.6126 0 'robobot/teensy_interface/alive' 1772540250.6125 2026-03-03 13:17:30.612
1772540252.6205 0 'robobot/teensy_interface/alive' 1772540252.6204 2026-03-03 13:17:32.620
1772540254.6285 0 'robobot/teensy_interface/alive' 1772540254.6285 2026-03-03 13:17:34.628
1772540256.6365 0 'robobot/teensy_interface/alive' 1772540256.6364 2026-03-03 13:17:36.636
1772540258.6447 0 'robobot/teensy_interface/alive' 1772540258.6446 2026-03-03 13:17:38.644
1772540260.6525 0 'robobot/teensy_interface/alive' 1772540260.6524 2026-03-03 13:17:40.652
1772540262.6602 0 'robobot/teensy_interface/alive' 1772540262.6602 2026-03-03 13:17:42.660
1772540264.6679 0 'robobot/teensy_interface/alive' 1772540264.6679 2026-03-03 13:17:44.667
1772540266.6757 0 'robobot/teensy_interface/alive' 1772540266.6756 2026-03-03 13:17:46.675
1772540268.6834 0 'robobot/teensy_interface/alive' 1772540268.6833 2026-03-03 13:17:48.683
1772540270.6911 0 'robobot/teensy_interface/alive' 1772540270.6910 2026-03-03 13:17:50.691
1772540272.6989 0 'robobot/teensy_interface/alive' 1772540272.6988 2026-03-03 13:17:52.698
1772540274.7067 0 'robobot/teensy_interface/alive' 1772540274.7066 2026-03-03 13:17:54.706
1772540276.7147 0 'robobot/teensy_interface/alive' 1772540276.7146 2026-03-03 13:17:56.714
1772540278.7225 0 'robobot/teensy_interface/alive' 1772540278.7224 2026-03-03 13:17:58.722
1772540280.7303 0 'robobot/teensy_interface/alive' 1772540280.7302 2026-03-03 13:18:00.730
1772540282.7384 0 'robobot/teensy_interface/alive' 1772540282.7383 2026-03-03 13:18:02.738
1772540284.7464 0 'robobot/teensy_interface/alive' 1772540284.7463 2026-03-03 13:18:04.746
1772540286.7543 0 'robobot/teensy_interface/alive' 1772540286.7543 2026-03-03 13:18:06.754
1772540288.7621 0 'robobot/teensy_interface/alive' 1772540288.7620 2026-03-03 13:18:08.762
1772540290.7700 0 'robobot/teensy_interface/alive' 1772540290.7699 2026-03-03 13:18:10.769
1772540292.7778 0 'robobot/teensy_interface/alive' 1772540292.7777 2026-03-03 13:18:12.777
1772540294.7858 0 'robobot/teensy_interface/alive' 1772540294.7857 2026-03-03 13:18:14.785
1772540296.7937 0 'robobot/teensy_interface/alive' 1772540296.7937 2026-03-03 13:18:16.793
1772540298.8017 0 'robobot/teensy_interface/alive' 1772540298.8017 2026-03-03 13:18:18.801
1772540300.8096 0 'robobot/teensy_interface/alive' 1772540300.8095 2026-03-03 13:18:20.809
1772540302.8174 0 'robobot/teensy_interface/alive' 1772540302.8174 2026-03-03 13:18:22.817
1772540304.8254 0 'robobot/teensy_interface/alive' 1772540304.8254 2026-03-03 13:18:24.825
1772540306.8335 0 'robobot/teensy_interface/alive' 1772540306.8334 2026-03-03 13:18:26.833
1772540308.8414 0 'robobot/teensy_interface/alive' 1772540308.8413 2026-03-03 13:18:28.841
1772540310.8494 0 'robobot/teensy_interface/alive' 1772540310.8493 2026-03-03 13:18:30.849
1772540312.8581 0 'robobot/teensy_interface/alive' 1772540312.8580 2026-03-03 13:18:32.858
1772540314.8662 0 'robobot/teensy_interface/alive' 1772540314.8661 2026-03-03 13:18:34.866
1772540316.8742 0 'robobot/teensy_interface/alive' 1772540316.8741 2026-03-03 13:18:36.874
1772540318.8822 0 'robobot/teensy_interface/alive' 1772540318.8822 2026-03-03 13:18:38.882
1772540320.8902 0 'robobot/teensy_interface/alive' 1772540320.8901 2026-03-03 13:18:40.890
1772540322.8982 0 'robobot/teensy_interface/alive' 1772540322.8981 2026-03-03 13:18:42.898
1772540324.9062 0 'robobot/teensy_interface/alive' 1772540324.9061 2026-03-03 13:18:44.906
1772540326.9142 0 'robobot/teensy_interface/alive' 1772540326.9141 2026-03-03 13:18:46.914
1772540328.9220 0 'robobot/teensy_interface/alive' 1772540328.9220 2026-03-03 13:18:48.922
1772540330.9297 0 'robobot/teensy_interface/alive' 1772540330.9296 2026-03-03 13:18:50.929
1772540332.9373 0 'robobot/teensy_interface/alive' 1772540332.9372 2026-03-03 13:18:52.937
1772540334.9451 0 'robobot/teensy_interface/alive' 1772540334.9451 2026-03-03 13:18:54.945
1772540336.9529 0 'robobot/teensy_interface/alive' 1772540336.9529 2026-03-03 13:18:56.952
1772540338.9609 0 'robobot/teensy_interface/alive' 1772540338.9609 2026-03-03 13:18:58.960
1772540340.9688 0 'robobot/teensy_interface/alive' 1772540340.9687 2026-03-03 13:19:00.968
1772540342.9767 0 'robobot/teensy_interface/alive' 1772540342.9766 2026-03-03 13:19:02.976
1772540344.9848 0 'robobot/teensy_interface/alive' 1772540344.9847 2026-03-03 13:19:04.984
1772540346.9928 0 'robobot/teensy_interface/alive' 1772540346.9927 2026-03-03 13:19:06.992
1772540349.0008 0 'robobot/teensy_interface/alive' 1772540349.0007 2026-03-03 13:19:09.000
1772540351.0087 0 'robobot/teensy_interface/alive' 1772540351.0087 2026-03-03 13:19:11.008
1772540353.0165 0 'robobot/teensy_interface/alive' 1772540353.0165 2026-03-03 13:19:13.016
1772540355.0244 0 'robobot/teensy_interface/alive' 1772540355.0243 2026-03-03 13:19:15.024
1772540357.0322 0 'robobot/teensy_interface/alive' 1772540357.0322 2026-03-03 13:19:17.032
1772540359.0402 0 'robobot/teensy_interface/alive' 1772540359.0401 2026-03-03 13:19:19.040
1772540361.0480 0 'robobot/teensy_interface/alive' 1772540361.0480 2026-03-03 13:19:21.048
1772540363.0560 0 'robobot/teensy_interface/alive' 1772540363.0559 2026-03-03 13:19:23.055
1772540365.0640 0 'robobot/teensy_interface/alive' 1772540365.0639 2026-03-03 13:19:25.063
1772540367.0720 0 'robobot/teensy_interface/alive' 1772540367.0719 2026-03-03 13:19:27.071
1772540369.0804 0 'robobot/teensy_interface/alive' 1772540369.0804 2026-03-03 13:19:29.080
1772540371.0884 0 'robobot/teensy_interface/alive' 1772540371.0883 2026-03-03 13:19:31.088
1772540373.0961 0 'robobot/teensy_interface/alive' 1772540373.0961 2026-03-03 13:19:33.096
1772540375.1040 0 'robobot/teensy_interface/alive' 1772540375.1040 2026-03-03 13:19:35.104
1772540377.1118 0 'robobot/teensy_interface/alive' 1772540377.1118 2026-03-03 13:19:37.111
1772540379.1196 0 'robobot/teensy_interface/alive' 1772540379.1196 2026-03-03 13:19:39.119
1772540381.1277 0 'robobot/teensy_interface/alive' 1772540381.1276 2026-03-03 13:19:41.127
1772540383.1357 0 'robobot/teensy_interface/alive' 1772540383.1357 2026-03-03 13:19:43.135
1772540385.1436 0 'robobot/teensy_interface/alive' 1772540385.1436 2026-03-03 13:19:45.143
1772540387.1516 0 'robobot/teensy_interface/alive' 1772540387.1516 2026-03-03 13:19:47.151
1772540389.1596 0 'robobot/teensy_interface/alive' 1772540389.1595 2026-03-03 13:19:49.159
1772540391.1674 0 'robobot/teensy_interface/alive' 1772540391.1673 2026-03-03 13:19:51.167
1772540392.0568 0 drive robobot/cmd/ti alive 2026-03-03 13:19:52.041910
1772540392.0981 0 drive robobot/cmd/ti log 1
1772540392.5577 0 drive robobot/cmd/ti alive 2026-03-03 13:19:52.041910
1772540393.0800 0 drive robobot/cmd/T0 lip 1
1772540393.0801 0 drive robobot/cmd/T0 sub livn 10
1772540393.1003 0 drive robobot/cmd/ti rc 0 0
1772540393.1204 0 drive robobot/cmd/T0 stop
1772540393.1205 0 drive robobot/cmd/T0 leds 14 0 0 0
1772540393.1306 0 drive robobot/cmd/T0 leds 15 0 0 0
1772540393.1307 0 drive robobot/cmd/T0 leds 16 0 0 0
