% Pose logfile
% 1 	Time (sec)
% 2,3 	X, Y position (m)
% 4 	Heading in radians (m)
% 5 	Tilt angle, if calculated (rad)
1770991814.6724 0.000 0.000 0.0000 3.0232
1770991814.6778 0.000 0.000 0.0000 3.0233
1770991814.6822 0.000 0.000 0.0000 3.0233
1770991814.6877 0.000 0.000 0.0000 3.0232
1770991814.6921 0.000 0.000 0.0000 3.0231
1770991814.6976 0.000 0.000 0.0000 3.0229
1770991814.7030 0.000 0.000 0.0000 3.0226
1770991814.7074 0.000 0.000 0.0000 3.0223
1770991814.7129 0.000 0.000 0.0000 3.0218
1770991814.7173 0.000 0.000 0.0000 3.0214
1770991814.7229 0.000 0.000 0.0000 3.0209
1770991814.7272 0.000 0.000 0.0000 3.0205
1770991814.7326 0.000 0.000 0.0000 3.0199
1770991814.7370 0.000 0.000 0.0000 3.0196
1770991814.7424 0.000 0.000 0.0000 3.0190
1770991814.7480 0.000 0.000 0.0000 3.0187
1770991814.7524 0.000 0.000 0.0000 3.0183
1770991814.7578 0.000 0.000 0.0000 3.0181
1770991814.7622 0.000 0.000 0.0000 3.0178
1770991814.7677 0.000 0.000 0.0000 3.0176
1770991814.7721 0.000 0.000 0.0000 3.0174
1770991814.7775 0.000 0.000 0.0000 3.0173
1770991814.7829 0.000 0.000 0.0000 3.0173
1770991814.7872 0.000 0.000 0.0000 3.0173
1770991814.7928 0.000 0.000 0.0000 3.0174
1770991814.7970 0.000 0.000 0.0000 3.0175
1770991814.8025 0.000 0.000 0.0000 3.0177
1770991814.8079 0.000 0.000 0.0000 3.0177
1770991814.8123 0.000 0.000 0.0000 3.0179
1770991814.8178 0.000 0.000 0.0000 3.0180
1770991814.8222 0.000 0.000 0.0000 3.0181
1770991814.8276 0.000 0.000 0.0000 3.0182
1770991814.8320 0.000 0.000 0.0000 3.0183
1770991814.8373 0.000 0.000 0.0000 3.0184
1770991814.8429 0.000 0.000 0.0000 3.0184
1770991814.8473 0.000 0.000 0.0000 3.0185
1770991814.8527 0.000 0.000 0.0000 3.0185
1770991814.8581 0.000 0.000 0.0000 3.0185
1770991814.8624 0.000 0.000 0.0000 3.0186
1770991814.8680 0.000 0.000 0.0000 3.0186
1770991814.8724 0.000 0.000 0.0000 3.0186
1770991814.8779 0.000 0.000 0.0000 3.0186
1770991814.8823 0.000 0.000 0.0000 3.0186
1770991814.8877 0.000 0.000 0.0000 3.0186
1770991814.8921 0.000 0.000 0.0000 3.0186
1770991814.8975 0.000 0.000 0.0000 3.0186
1770991814.9030 0.000 0.000 0.0000 3.0187
1770991814.9073 0.000 0.000 0.0000 3.0187
1770991814.9128 0.000 0.000 0.0000 3.0187
1770991814.9172 0.000 0.000 0.0000 3.0188
1770991814.9227 0.000 0.000 0.0000 3.0189
1770991814.9271 0.000 0.000 0.0000 3.0189
1770991814.9325 0.000 0.000 0.0000 3.0190
1770991814.9380 0.000 0.000 0.0000 3.0191
1770991814.9424 0.000 0.000 0.0000 3.0191
1770991814.9478 0.000 0.000 0.0000 3.0191
1770991814.9523 0.000 0.000 0.0000 3.0191
1770991814.9576 0.000 0.000 0.0000 3.0190
1770991814.9631 0.000 0.000 0.0000 3.0189
1770991814.9675 0.000 0.000 0.0000 3.0187
1770991814.9729 0.000 0.000 0.0000 3.0184
1770991814.9773 0.000 0.000 0.0000 3.0182
1770991814.9827 0.000 0.000 0.0000 3.0179
1770991814.9871 0.000 0.000 0.0000 3.0177
1770991814.9926 0.000 0.000 0.0000 3.0173
1770991814.9980 0.000 0.000 0.0000 3.0170
1770991815.0024 0.000 0.000 0.0000 3.0167
1770991815.0078 0.000 0.000 0.0000 3.0164
1770991815.0121 0.000 0.000 0.0000 3.0161
1770991815.0176 0.000 0.000 0.0000 3.0159
1770991815.0231 0.000 0.000 0.0000 3.0157
1770991815.0274 0.000 0.000 0.0000 3.0156
1770991815.0329 0.000 0.000 0.0000 3.0155
1770991815.0372 0.000 0.000 0.0000 3.0154
1770991815.0427 0.000 0.000 0.0000 3.0153
1770991815.0472 0.000 0.000 0.0000 3.0153
1770991815.0526 0.000 0.000 0.0000 3.0152
1770991815.0581 0.000 0.000 0.0000 3.0152
1770991815.0624 0.000 0.000 0.0000 3.0151
1770991815.0680 0.000 0.000 0.0000 3.0150
1770991815.0724 0.000 0.000 0.0000 3.0149
1770991815.0778 0.000 0.000 0.0000 3.0148
1770991815.0822 0.000 0.000 0.0000 3.0146
1770991815.0877 0.000 0.000 0.0000 3.0143
1770991815.0933 0.000 0.000 0.0000 3.0141
1770991815.0976 0.000 0.000 0.0000 3.0138
1770991815.1031 0.000 0.000 0.0000 3.0136
1770991815.1075 0.000 0.000 0.0000 3.0132
1770991815.1131 0.000 0.000 0.0000 3.0130
1770991815.1176 0.000 0.000 0.0000 3.0125
1770991815.1231 0.000 0.000 0.0000 3.0122
1770991815.1275 0.000 0.000 0.0000 3.0118
1770991815.1330 0.000 0.000 0.0000 3.0115
1770991815.1384 0.000 0.000 0.0000 3.0110
1770991815.1431 0.000 0.000 0.0000 3.0108
1770991815.1485 0.000 0.000 0.0000 3.0104
1770991815.1530 0.000 0.000 0.0000 3.0101
1770991815.1583 0.000 0.000 0.0000 3.0098
1770991815.1637 0.000 0.000 0.0000 3.0097
1770991815.1683 0.000 0.000 0.0000 3.0094
1770991815.1737 0.000 0.000 0.0000 3.0093
1770991815.1782 0.000 0.000 0.0000 3.0090
1770991815.1837 0.000 0.000 0.0000 3.0089
1770991815.1880 0.000 0.000 0.0000 3.0086
1770991815.1936 0.000 0.000 0.0000 3.0085
1770991815.1979 0.000 0.000 0.0000 3.0082
1770991815.2034 0.000 0.000 0.0000 3.0080
1770991815.2089 0.000 0.000 0.0000 3.0076
1770991815.2133 0.000 0.000 0.0000 3.0074
1770991815.2188 0.000 0.000 0.0000 3.0070
1770991815.2232 0.000 0.000 0.0000 3.0067
1770991815.2286 0.000 0.000 0.0000 3.0063
1770991815.2330 0.000 0.000 0.0000 3.0061
1770991815.2385 0.000 0.000 0.0000 3.0057
1770991815.2429 0.000 0.000 0.0000 3.0055
1770991815.2484 0.000 0.000 0.0000 3.0052
1770991815.2538 0.000 0.000 0.0000 3.0050
1770991815.2581 0.000 0.000 0.0000 3.0048
1770991815.2637 0.000 0.000 0.0000 3.0047
1770991815.2680 0.000 0.000 0.0000 3.0044
1770991815.2736 0.000 0.000 0.0000 3.0043
1770991815.2789 0.000 0.000 0.0000 3.0041
1770991815.2833 0.000 0.000 0.0000 3.0040
1770991815.2888 0.000 0.000 0.0000 3.0039
1770991815.2931 0.000 0.000 0.0000 3.0037
1770991815.2986 0.000 0.000 0.0000 3.0036
1770991815.3030 0.000 0.000 0.0000 3.0034
1770991815.3084 0.000 0.000 0.0000 3.0033
1770991815.3139 0.000 0.000 0.0000 3.0032
1770991815.3183 0.000 0.000 0.0000 3.0030
1770991815.3239 0.000 0.000 0.0000 3.0029
1770991815.3282 0.000 0.000 0.0000 3.0028
1770991815.3337 0.000 0.000 0.0000 3.0027
1770991815.3380 0.000 0.000 0.0000 3.0026
1770991815.3435 0.000 0.000 0.0000 3.0026
1770991815.3490 0.000 0.000 0.0000 3.0025
1770991815.3534 0.000 0.000 0.0000 3.0025
1770991815.3588 0.000 0.000 0.0000 3.0024
1770991815.3632 0.000 0.000 0.0000 3.0024
1770991815.3687 0.000 0.000 0.0000 3.0023
1770991815.3731 0.000 0.000 0.0000 3.0023
1770991815.3785 0.000 0.000 0.0000 3.0022
1770991815.3840 0.000 0.000 0.0000 3.0022
1770991815.3882 0.000 0.000 0.0000 3.0021
1770991815.3938 0.000 0.000 0.0000 3.0021
1770991815.3981 0.000 0.000 0.0000 3.0021
1770991815.4035 0.000 0.000 0.0000 3.0020
1770991815.4090 0.000 0.000 0.0000 3.0020
1770991815.4133 0.000 0.000 0.0000 3.0020
1770991815.4189 0.000 0.000 0.0000 3.0019
1770991815.4233 0.000 0.000 0.0000 3.0019
1770991815.4287 0.000 0.000 0.0000 3.0018
1770991815.4331 0.000 0.000 0.0000 3.0017
1770991815.4385 0.000 0.000 0.0000 3.0015
1770991815.4430 0.000 0.000 0.0000 3.0013
1770991815.4484 0.000 0.000 0.0000 3.0010
1770991815.4539 0.000 0.000 0.0000 3.0008
1770991815.4582 0.000 0.000 0.0000 3.0005
1770991815.4636 0.000 0.000 0.0000 3.0002
1770991815.4681 0.000 0.000 0.0000 2.9998
1770991815.4735 0.000 0.000 0.0000 2.9994
1770991815.4790 0.000 0.000 0.0000 2.9989
1770991815.4833 0.000 0.000 0.0000 2.9985
1770991815.4888 0.000 0.000 0.0000 2.9979
1770991815.4932 0.000 0.000 0.0000 2.9975
1770991815.4985 0.000 0.000 0.0000 2.9968
1770991815.5030 0.000 0.000 0.0000 2.9964
1770991815.5084 0.000 0.000 0.0000 2.9957
1770991815.5139 0.000 0.000 0.0000 2.9952
1770991815.5183 0.000 0.000 0.0000 2.9945
1770991815.5238 0.000 0.000 0.0000 2.9941
1770991815.5281 0.000 0.000 0.0000 2.9933
1770991815.5335 0.000 0.000 0.0000 2.9927
1770991815.5391 0.000 0.000 0.0000 2.9919
1770991815.5435 0.000 0.000 0.0000 2.9913
1770991815.5489 0.000 0.000 0.0000 2.9903
1770991815.5533 0.000 0.000 0.0000 2.9896
1770991815.5586 0.000 0.000 0.0000 2.9886
1770991815.5631 0.000 0.000 0.0000 2.9878
1770991815.5686 0.000 0.000 0.0000 2.9867
1770991815.5741 0.000 0.000 0.0000 2.9860
1770991815.5784 0.000 0.000 0.0000 2.9848
1770991815.5839 0.000 0.000 0.0000 2.9841
1770991815.5882 0.000 0.000 0.0000 2.9830
1770991815.5937 0.000 0.000 0.0000 2.9823
1770991815.5991 0.000 0.000 0.0000 2.9814
1770991815.6035 0.000 0.000 0.0000 2.9808
1770991815.6090 0.000 0.000 0.0000 2.9800
1770991815.6134 0.000 0.000 0.0000 2.9795
1770991815.6188 0.000 0.000 0.0000 2.9789
1770991815.6233 0.000 0.000 0.0000 2.9785
1770991815.6286 0.000 0.000 0.0000 2.9780
1770991815.6341 0.000 0.000 0.0000 2.9777
1770991815.6385 0.000 0.000 0.0000 2.9772
1770991815.6440 0.000 0.000 0.0000 2.9769
1770991815.6484 0.000 0.000 0.0000 2.9765
1770991815.6538 0.000 0.000 0.0000 2.9762
1770991815.6583 0.000 0.000 0.0000 2.9758
